example_id                                                                                | status | run_time        |
./spec/features/study_notes/viewing_studynotes_overview_spec.rb[1:4]                      | passed | 0.91238 seconds |
./spec/features/study_notes/viewing_studynotes_overview_spec.rb[1:5]                      | passed | 0.57816 seconds |
./spec/features/study_notes/viewing_studynotes_spec.rb[1:1]                               | passed | 0.87844 seconds |
./spec/features/tags/tag_overview_spec.rb[1:1]                                            | passed | 2.7 seconds     |
./spec/features/tags/tag_overview_spec.rb[1:2]                                            | passed | 2.19 seconds    |
./spec/features/user_management/view_user_profile_spec.rb[1:1]                            | passed | 2.09 seconds    |
./spec/models/bible_verse_spec.rb[1:1]                                                    | passed | 0.03873 seconds |
./spec/models/bible_verse_spec.rb[1:2]                                                    | passed | 0.00191 seconds |
./spec/models/bible_verse_spec.rb[1:3]                                                    | passed | 0.00233 seconds |
./spec/models/bible_verse_spec.rb[1:4]                                                    | passed | 0.00196 seconds |
./spec/models/biblebook_name_spec.rb[1:1]                                                 | passed | 0.00086 seconds |
./spec/models/biblebook_name_spec.rb[1:2]                                                 | passed | 0.00035 seconds |
./spec/models/biblebook_name_spec.rb[1:3]                                                 | passed | 0.00045 seconds |
./spec/models/biblebook_name_spec.rb[1:4]                                                 | passed | 0.00037 seconds |
./spec/models/biblebook_name_spec.rb[1:5]                                                 | passed | 0.00048 seconds |
./spec/models/biblebook_name_spec.rb[1:6]                                                 | passed | 0.0004 seconds  |
./spec/models/biblebook_name_spec.rb[1:7]                                                 | passed | 0.0004 seconds  |
./spec/models/biblebook_name_spec.rb[1:8]                                                 | passed | 0.00044 seconds |
./spec/models/biblebook_name_spec.rb[1:9]                                                 | passed | 0.00048 seconds |
./spec/models/biblebook_name_spec.rb[1:10]                                                | passed | 0.00038 seconds |
./spec/models/biblebook_name_spec.rb[1:11]                                                | passed | 0.00041 seconds |
./spec/models/biblebook_name_spec.rb[1:12]                                                | passed | 0.01244 seconds |
./spec/models/biblebook_spec.rb[1:1]                                                      | passed | 0.00475 seconds |
./spec/models/biblebook_spec.rb[1:2]                                                      | passed | 0.00416 seconds |
./spec/models/biblebook_spec.rb[1:3]                                                      | passed | 0.00612 seconds |
./spec/models/biblebook_spec.rb[1:4]                                                      | passed | 0.00469 seconds |
./spec/models/biblebook_spec.rb[1:5]                                                      | passed | 0.00471 seconds |
./spec/models/biblebook_spec.rb[1:6]                                                      | passed | 0.02035 seconds |
./spec/models/biblebook_spec.rb[1:7]                                                      | passed | 0.00843 seconds |
./spec/models/biblebook_spec.rb[1:8]                                                      | passed | 0.00379 seconds |
./spec/models/biblebook_spec.rb[1:9]                                                      | passed | 0.01147 seconds |
./spec/models/biblebook_spec.rb[1:10]                                                     | passed | 0.00414 seconds |
./spec/models/biblebook_spec.rb[1:11]                                                     | passed | 0.00828 seconds |
./spec/models/biblebook_spec.rb[1:12]                                                     | passed | 0.00409 seconds |
./spec/models/biblebook_spec.rb[1:13]                                                     | passed | 0.00559 seconds |
./spec/models/biblebook_spec.rb[1:14]                                                     | passed | 0.00656 seconds |
./spec/models/chapter_spec.rb[1:1]                                                        | passed | 0.00609 seconds |
./spec/models/chapter_spec.rb[1:2]                                                        | passed | 0.0008 seconds  |
./spec/models/creating_pericope_spec.rb[1:1]                                              | passed | 0.01077 seconds |
./spec/models/creating_pericope_spec.rb[1:2]                                              | passed | 0.01921 seconds |
./spec/models/pericope_formatter_spec.rb[1:1]                                             | passed | 0.00784 seconds |
./spec/models/pericope_formatter_spec.rb[1:2]                                             | passed | 0.04861 seconds |
./spec/models/pericope_formatter_spec.rb[1:3]                                             | passed | 0.04176 seconds |
./spec/models/pericope_formatter_spec.rb[1:4]                                             | passed | 0.01192 seconds |
./spec/models/pericope_formatter_spec.rb[1:5]                                             | passed | 0.0217 seconds  |
./spec/models/pericope_parser_spec.rb[1:1]                                                | passed | 0.00039 seconds |
./spec/models/pericope_parser_spec.rb[1:2]                                                | passed | 0.00052 seconds |
./spec/models/pericope_parser_spec.rb[1:3]                                                | passed | 0.0004 seconds  |
./spec/models/pericope_parser_spec.rb[1:4]                                                | passed | 0.00051 seconds |
./spec/models/pericope_parser_spec.rb[1:5]                                                | passed | 0.00042 seconds |
./spec/models/pericope_parser_spec.rb[1:6]                                                | passed | 0.00074 seconds |
./spec/models/pericope_parser_spec.rb[1:7]                                                | passed | 0.00044 seconds |
./spec/models/pericope_parser_spec.rb[1:8]                                                | passed | 0.00053 seconds |
./spec/models/pericope_parser_spec.rb[1:9]                                                | passed | 0.00061 seconds |
./spec/models/pericope_parser_spec.rb[1:10]                                               | passed | 0.0006 seconds  |
./spec/models/pericope_parser_spec.rb[1:11]                                               | passed | 0.00071 seconds |
./spec/models/pericope_parser_spec.rb[1:12]                                               | passed | 0.00081 seconds |
./spec/models/pericope_parser_spec.rb[1:13]                                               | passed | 0.00082 seconds |
./spec/models/pericope_parser_spec.rb[1:14]                                               | passed | 0.00084 seconds |
./spec/models/pericope_parser_spec.rb[1:15]                                               | passed | 0.00086 seconds |
./spec/models/pericope_parser_spec.rb[1:16]                                               | passed | 0.00199 seconds |
./spec/models/pericope_parser_spec.rb[1:17]                                               | passed | 0.0006 seconds  |
./spec/models/pericope_parser_spec.rb[1:18]                                               | passed | 0.00073 seconds |
./spec/models/pericope_spec.rb[1:1]                                                       | passed | 0.01952 seconds |
./spec/models/pericope_spec.rb[1:2]                                                       | passed | 0.02015 seconds |
./spec/models/pericope_spec.rb[1:3]                                                       | passed | 0.01603 seconds |
./spec/models/pericope_spec.rb[1:4]                                                       | passed | 0.01021 seconds |
./spec/models/pericope_spec.rb[1:5]                                                       | passed | 0.02117 seconds |
./spec/models/pericope_spec.rb[1:6]                                                       | passed | 0.01682 seconds |
./spec/models/pericope_spec.rb[1:7]                                                       | passed | 0.01489 seconds |
./spec/models/pericope_spec.rb[1:8]                                                       | passed | 0.01248 seconds |
./spec/models/pericope_spec.rb[1:9]                                                       | passed | 0.01706 seconds |
./spec/models/pericope_spec.rb[1:10]                                                      | passed | 0.03316 seconds |
./spec/models/pericope_spec.rb[1:11]                                                      | passed | 0.01394 seconds |
./spec/models/pericope_validator_spec.rb[1:1]                                             | passed | 0.03665 seconds |
./spec/models/pericope_validator_spec.rb[1:2]                                             | passed | 0.03568 seconds |
./spec/models/pericope_validator_spec.rb[1:3]                                             | passed | 0.03607 seconds |
./spec/models/studynote_spec.rb[1:1]                                                      | passed | 0.00503 seconds |
./spec/models/studynote_spec.rb[1:2]                                                      | passed | 0.01489 seconds |
./spec/models/studynote_spec.rb[1:3]                                                      | passed | 0.00281 seconds |
./spec/models/studynote_spec.rb[1:4]                                                      | passed | 0.00272 seconds |
./spec/policies/application_policy_spec.rb[1:1:1:1]                                       | passed | 0.00771 seconds |
./spec/policies/application_policy_spec.rb[1:1:1:2]                                       | passed | 0.00676 seconds |
./spec/policies/application_policy_spec.rb[1:1:1:3]                                       | passed | 0.0058 seconds  |
./spec/policies/application_policy_spec.rb[1:1:1:4]                                       | passed | 0.01326 seconds |
./spec/policies/application_policy_spec.rb[1:1:1:5]                                       | passed | 0.00741 seconds |
./spec/policies/application_policy_spec.rb[1:1:1:6]                                       | passed | 0.00541 seconds |
./spec/policies/application_policy_spec.rb[1:1:2:1]                                       | passed | 0.0089 seconds  |
./spec/policies/application_policy_spec.rb[1:1:2:2]                                       | passed | 0.00462 seconds |
./spec/policies/application_policy_spec.rb[1:1:2:3]                                       | passed | 0.00487 seconds |
./spec/policies/application_policy_spec.rb[1:1:2:4]                                       | passed | 0.0045 seconds  |
./spec/policies/application_policy_spec.rb[1:1:2:5]                                       | passed | 0.00462 seconds |
./spec/policies/application_policy_spec.rb[1:1:2:6]                                       | passed | 0.00443 seconds |
./spec/policies/application_policy_spec.rb[1:1:3:1]                                       | passed | 0.00929 seconds |
./spec/policies/application_policy_spec.rb[1:1:3:2]                                       | passed | 0.012 seconds   |
./spec/policies/application_policy_spec.rb[1:1:3:3]                                       | passed | 0.01003 seconds |
./spec/policies/application_policy_spec.rb[1:1:3:4]                                       | passed | 0.00857 seconds |
./spec/policies/application_policy_spec.rb[1:1:3:5]                                       | passed | 0.00875 seconds |
./spec/policies/application_policy_spec.rb[1:1:3:6]                                       | passed | 0.0095 seconds  |
./spec/policies/studynote_policy_spec.rb[1:1:1:1]                                         | passed | 0.00958 seconds |
./spec/policies/studynote_policy_spec.rb[1:1:1:2]                                         | passed | 0.00806 seconds |
./spec/policies/studynote_policy_spec.rb[1:1:1:3]                                         | passed | 0.00801 seconds |
./spec/policies/studynote_policy_spec.rb[1:1:1:4]                                         | passed | 0.00793 seconds |
./spec/policies/studynote_policy_spec.rb[1:1:1:5]                                         | passed | 0.00916 seconds |
./spec/policies/studynote_policy_spec.rb[1:1:1:6]                                         | passed | 0.00743 seconds |
./spec/policies/studynote_policy_spec.rb[1:1:2:1]                                         | passed | 0.00686 seconds |
./spec/policies/studynote_policy_spec.rb[1:1:2:2]                                         | passed | 0.00568 seconds |
./spec/policies/studynote_policy_spec.rb[1:1:2:3]                                         | passed | 0.00628 seconds |
./spec/policies/studynote_policy_spec.rb[1:1:2:4]                                         | passed | 0.00544 seconds |
./spec/policies/studynote_policy_spec.rb[1:1:2:5]                                         | passed | 0.00569 seconds |
./spec/policies/studynote_policy_spec.rb[1:1:2:6]                                         | passed | 0.00578 seconds |
./spec/policies/studynote_policy_spec.rb[1:1:3:1]                                         | passed | 0.0092 seconds  |
./spec/policies/studynote_policy_spec.rb[1:1:3:2]                                         | passed | 0.0088 seconds  |
./spec/policies/studynote_policy_spec.rb[1:1:3:3]                                         | passed | 0.01083 seconds |
./spec/policies/studynote_policy_spec.rb[1:1:3:4]                                         | passed | 0.00923 seconds |
./spec/policies/studynote_policy_spec.rb[1:1:3:5]                                         | passed | 0.00878 seconds |
./spec/policies/studynote_policy_spec.rb[1:1:3:6]                                         | passed | 0.0085 seconds  |
